conversation_id,use_case,outcome,sender_id,user_message,bot_message,created_time,intent,entities
16,uc_s1,,2093944380628860,Shop còn bộ này k ạ Loại 2 ghế ạ? Bàn lego ,,2020-07-31 06:56:23,query_knowledge_base,"https://scontent.xx.fbcdn.net/v/t1.15752-9/94033054_2606739919566788_1256286167532306432_n.jpg?_nc_cat=108&_nc_sid=b96e70&_nc_ohc=76R2xgzRhkYAX888TKq&_nc_ad=z-m&_nc_cid=0&_nc_ht=scontent.xx&oh=c013292c9eee623009be54337303062f&oe=5F4A7B25,bộ này,ghe,lego,"
16,,silence,2093944380628860,,"Dạ, có phải bạn muốn hỏi một trong các sản phẩm dưới đây không ạ?
 (Vui lòng ấn chọn 1 sản phẩm)",2020-07-31 06:56:26,,
16,,,2093944380628860,,,2020-07-31 06:56:26,,
16,,,2093944380628860,,,2020-07-31 06:56:26,,
17,uc_s1,,1195017330604603,e ơi còn rơ lưỡi này ko ,,2020-07-30 13:54:49,query_knowledge_base,"https://scontent.xx.fbcdn.net/v/t1.15752-9/116909701_2399947160306053_3772512715813593427_n.jpg?_nc_cat=111&_nc_sid=b96e70&_nc_ohc=bgOXBm1P6cMAX9kRenk&_nc_ad=z-m&_nc_cid=0&_nc_ht=scontent.xx&oh=0b3f2eac229d0ac33923c2b16a319c0d&oe=5F499191,lưỡi này,"
17,,,1195017330604603,,"Mình chưa xác định được món đồ bạn hỏi, bạn mô tả rõ hơn giúp mình nhé!",2020-07-30 13:54:53,,
17,,,1195017330604603,e ơi,,2020-07-31 04:18:33,greet,
17,,,1195017330604603,,"Chào Phùng Tuyết Nhung, mình là Gấu Bino, trợ lý ảo của Shop Gấu & Bí Ngô, mình giúp gì được bạn ạ?",2020-07-31 04:18:33,,
17,,,1195017330604603,còn rơ lưỡi ko e,,2020-07-31 04:19:03,query_knowledge_base,"rơ lưỡi,"
17,,silence,1195017330604603,,"Dạ, bạn chờ trong ít phút shop kiểm tra kho hàng rồi báo lại bạn ngay ạ! ^^",2020-07-31 04:19:04,,
29,uc_s1,,1660263914007206,Quạt này bên bạn còn ko nữa bạn ,,2020-07-30 04:20:30,query_knowledge_base,"https://scontent.xx.fbcdn.net/v/t1.15752-9/116243518_326656548466777_9205176524330970287_n.png?_nc_cat=109&_nc_sid=b96e70&_nc_ohc=n6XcDSylVgEAX9l_RVt&_nc_ad=z-m&_nc_cid=0&_nc_ht=scontent.xx&oh=87c8e8742578dd9ee3b8d9b71c187b84&oe=5F48FEB4,quạt,này,"
29,,,1660263914007206,,"Dạ, có phải bạn muốn hỏi một trong các sản phẩm dưới đây không ạ?
 (Vui lòng ấn chọn 1 sản phẩm)",2020-07-30 04:20:33,,
29,,,1660263914007206,,,2020-07-30 04:20:33,,
29,,,1660263914007206,,,2020-07-30 04:20:33,,
29,,,1660263914007206,Cái quạt mastela ấy Cái này còn ko bạn ,,2020-07-30 04:21:52,query_knowledge_base,"https://scontent.xx.fbcdn.net/v/t1.15752-9/116243518_326656548466777_9205176524330970287_n.png?_nc_cat=109&_nc_sid=b96e70&_nc_ohc=n6XcDSylVgEAX9l_RVt&_nc_ad=z-m&_nc_cid=0&_nc_ht=scontent.xx&oh=87c8e8742578dd9ee3b8d9b71c187b84&oe=5F48FEB4,mastela,cái này,"
29,,silence,1660263914007206,,"Dạ, có phải bạn muốn hỏi một trong các sản phẩm dưới đây không ạ?
 (Vui lòng ấn chọn 1 sản phẩm)",2020-07-30 04:21:55,,
29,,,1660263914007206,,,2020-07-30 04:21:55,,
29,,,1660263914007206,,,2020-07-30 04:21:55,,
37,uc_s1,,1738934669537777,Bạn ơi ghế này bên bạn còn ko? Ship cho mình với,,2020-07-29 14:47:50,query_knowledge_base,"ghe,này,"
37,,,1738934669537777,,,2020-07-29 14:47:50,,
37,,,1738934669537777,,,2020-07-29 14:48:04,send_link,"https://scontent.xx.fbcdn.net/v/t1.15752-9/116643614_1000625827057974_2245229722261228882_n.jpg?_nc_cat=110&_nc_sid=b96e70&_nc_ohc=_P8W0simpUkAX_ZM164&_nc_oc=AQk2tS11YA-RCWIl0N-X-3F31QUAiLBHmVj1PuGX4eVrUNW4hkm_uKNsZcEOn2EH5A0-LnV1jbDT9Z1kf__KtBXU&_nc_ad=z-m&_nc_cid=0&_nc_ht=scontent.xx&oh=dcf473346dc5cc18bb246e5dd85efa1b&oe=5F489041,"
37,,,1738934669537777,,,2020-07-29 14:48:06,,
40,uc_s1,,2755573641135438,Shop còn hộp rơ lưỡi này ko ạ ,,2020-07-29 08:01:16,query_knowledge_base,"https://scontent.xx.fbcdn.net/v/t1.15752-9/116548409_293211481763328_9218400882059690350_n.jpg?_nc_cat=100&_nc_sid=b96e70&_nc_ohc=urUQ8CB6-5cAX8zKfBV&_nc_ad=z-m&_nc_cid=0&_nc_ht=scontent.xx&oh=e91e7a2a9d549a89c825bd6c3019fbb5&oe=5F465CE1,này,"
40,,,2755573641135438,,"Dạ, có phải bạn muốn hỏi một trong các sản phẩm dưới đây không ạ?
 (Vui lòng ấn chọn 1 sản phẩm)",2020-07-29 08:01:19,,
40,,,2755573641135438,,,2020-07-29 08:01:19,,
40,,,2755573641135438,,,2020-07-29 08:01:19,,
40,,,2755573641135438,"/disagree{""object_type"": null}",,2020-07-29 08:02:05,disagree,
40,,,2755573641135438,,Bạn vui lòng mô tả rõ mong muốn của bạn hoặc chat với nhân viên tư vấn nhé!,2020-07-29 08:02:05,,
40,,,2755573641135438,/connect_employee,,2020-07-29 08:02:12,connect_employee,
40,,silence,2755573641135438,,"Dạ, bạn vui lòng chờ trong ít phút nhân viên của shop sẽ phục vụ bạn ạ!^^",2020-07-29 08:02:13,,
77,uc_s1,,2182480858441676,shop ơi nhà mình còn máy tạo ẩm Laica ko ạ,,2020-07-28 04:42:55,query_knowledge_base,"may_tao_am,laica,"
77,,,2182480858441676,,,2020-07-28 04:42:56,,
77,,,2182480858441676,mình hỏi loại này ,,2020-07-28 04:44:01,query_knowledge_base,"https://scontent.xx.fbcdn.net/v/t1.15752-9/115800351_648462476024715_8462808768559858560_n.jpg?_nc_cat=110&_nc_sid=b96e70&_nc_ohc=xPqiRJzsTGQAX_kjNYv&_nc_ad=z-m&_nc_cid=0&_nc_ht=scontent.xx&oh=f1902407db1ba4ec7e5e5cd19a974e42&oe=5F434822,"
77,,silence,2182480858441676,,"Dạ, có phải bạn muốn hỏi một trong các sản phẩm dưới đây không ạ?
 (Vui lòng ấn chọn 1 sản phẩm)",2020-07-28 04:44:03,,
77,,,2182480858441676,,,2020-07-28 04:44:03,,
77,,,2182480858441676,,,2020-07-28 04:44:03,,
117,,,3122885287748181,/start_conversation,,2020-07-24 03:59:35,start_conversation,
